Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,British Indian Ocean Ter.,Export,Export Partner Share (%),0.0019,0,0,0,0.0002,,0.0001,0.0002,0.0002,,0.0001,,,,,,,,,
Australia,British Virgin Islands,Export,Export Partner Share (%),0.0002,0.0002,0.003,0.0032,0.0005,0.0053,0.0001,0.0002,0.0001,0.0001,0.0003,0.0008,0.0065,0,0,0.0002,0.0005,0.0001,0.0001,0
Australia,Brunei,Export,Export Partner Share (%),0.0383,0.0378,0.0436,0.0407,0.0339,0.0216,0.0162,0.0181,0.0136,0.0175,0.0145,0.0141,0.0144,0.0186,0.0161,0.0189,0.0164,0.0137,0.0148,0.0133
Australia,Bulgaria,Export,Export Partner Share (%),0.0028,0.0174,0.0393,0.0643,0.0637,0.0536,0.0342,0.0316,0.0134,0.0055,0.003,0.0033,0.0444,0.0366,0.0604,0.0357,0.0366,0.0067,0.0203,0.0067
Australia,Bunkers,Export,Export Partner Share (%),0.8276,0.7526,0.7385,0.7263,0.7893,0.8737,0.8927,0.8288,0.8007,0.683,0.6525,0.6273,0.673,0.6534,0.6692,0.6074,0.612,0.5572,0.6009,0.4547
Australia,Burkina Faso,Export,Export Partner Share (%),0.0001,0.0002,0.0006,0.0004,0.001,0.0011,0.0013,0.0041,0.0012,0.0042,0.0019,0.0035,0.0093,0.003,0.0027,0.0074,0.0055,0.0049,0.004,0.0037
Australia,Burundi,Export,Export Partner Share (%),0.0001,0.0001,0.0001,0.0002,0.0012,0.0005,0.0001,0,0.0001,0.0001,0,0,0.0001,0,0.0008,0.0003,0,,0,0
Australia,Cambodia,Export,Export Partner Share (%),0.01,0.0093,0.0121,0.0163,0.0222,0.0338,0.0278,0.0246,0.0197,0.0215,0.0108,0.0113,0.0111,0.0107,0.0161,0.0185,0.0177,0.0132,0.0163,0.0222
Australia,Cameroon,Export,Export Partner Share (%),0.0003,0.0025,0.0022,0.0024,0.0009,0.0084,0.0014,0.0038,0.0059,0.0013,0.001,0.0011,0.001,0.0006,0.0008,0.0021,0.0016,0.0019,0.0004,0.0003
Australia,Canada,Export,Export Partner Share (%),1.3135,1.4824,1.5684,1.6133,1.6686,1.287,1.0259,1.0647,0.6927,0.731,0.543,0.5777,0.6734,0.4142,0.4604,0.6185,0.6935,0.5337,0.5607,0.5696
Australia,Cape Verde,Export,Export Partner Share (%),0.0001,0,0,,0.0003,,0,0,0,0,0,,0,0,0,0,0.0001,0,0,0.0002
Australia,Cayman Islands,Export,Export Partner Share (%),0.0001,0.0002,0.0002,0.0007,0.0241,0.0007,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0004,0.0002,0.0003
Australia,Central African Republic,Export,Export Partner Share (%),0.0004,0,0.0009,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0,0.0002,0.0007,0.0015,0.0002,0.0002,0.0002
